ward_off_by_earnest_prayer	deprecor
sevenfold	septemplex
thunder_clap	crepitus
din	crepitus
pertaining_walls	muralis
sink_down	succido
fall_down	succido
attempt	conatus
languid	languidus
quarrel	lis
lawsuit	lis
cover	contego
status	condicio
situation	condicio
agreement	condicio
numbness	torpor
beat_violently	everbero
late_at_night	serum
the_dead_of_night	serum
incurable	immedicabilis
megaera	megaera
majesty	maiestas
greatness	maiestas
swear_by	adiuro
heroes_elevated_gods_after_death	indigetes
loosen	discludo
open	discludo
the_wild_olive	oleaster
trivial	ludicer
vain	ludicer

weave_again	retexo
threaten	minitor
demand	efflagito
ask_urgently	efflagito
echo	responso
make_answer	responso
umbrian	umber
glitter	resplendeo
shine_brightly	resplendeo
go_down	vergo
incline	vergo
command	imperito
taburnus	taburnus
sila	sila
apennines	appenninus

hold_back	inhibeo
indicate	significo
join_together	compingo
flash/strike_like_lightning	fulmino
saces	saces
tear_asunder	discindo
attack	incesso
happen	accido
fall	accido
of_wax	cereus
waxen	cereus
is_pleasing	libet
it_pleases	libet
free_from_service	immunis
lyrnesus	lyrnesus
an_over_thrower	eversor
cupencus	cupencus
hyllus	hyllus
tread_down	proculco
murranus	murranus
ransack	populor
ravage	populor
lay_waste	populor
running_down	decursus
rent	conduco
hire	conduco
bring_together	conduco
peridia	peridia
theban	echionius
echionian	echionius
of_echion	echionius
onites	onites
cethegus	cethegus
tanais	tanais
talos	talos
cut_off	abscido
sucro	sucro
turn_one’s_self	diverto
rapid	incitus
food	esca
swallow	hirundo
fly_through_or_over	pervolo
wagon	temo
the_tongue_or_pole_of_plow_or_cart	temo
metiscus	metiscus
heroine	virago
woman_of_masculine_spirit	virago
epulo	epulo
arcetius	arcetius
osiris	osiris
grow_up	adolesco
kiss	delibo
sip	delibo
come_about	provenio
come_forth	provenio
all_heal	panacea
an_herb_which_cured_all_diseases	panacea
sweet_scented	odorifer
juice	sucus
ambrosia	ambrosia
healthy	salubris
stalk	caulis
pubescent	pubes
youthful	pubes
dittany	dictamnus
aid	subvenio
medical	medicus
healing	medicus
running_forward	procursus
touch	degusto
taste_of	degusto
double_plaited	bilix
lance	lancea
swiftly_driven_or_swiftly_running	citatus
edonic	edonus
throwing_rider	sternax
plunging	sternax
sybaris	sybaris
asbytes	asbytes
measure	metior
wrench_away	extorqueo
twist_out	extorqueo
come_over_or_come_unexpectedly	supervenio
void_space	inane
visit_with	afficio
affect	afficio
spy	speculator
courier	speculator
dolon	dolon
eumedes	eumedes
imbrasus	imbrasus
lades	lades
thamyrus	thamyrus
mix_by_trampling	calco
trample_upon	calco
put_under_the_heel	calco
wretchedly	miserabile
thrace	thraca
trample_upon_or_down	protero
rub_before	protero
sudden	repens
overhang	superimmineo
alsus	alsus
podalirius	podalirius
vapor	nidor
ebusus	ebusus
burn_round	amburo
victim	victima
an_animal_offered_in_sacrifice	victima
of_beams	trabalis
put_flight	proterreo
frighten_forth_or_away	proterreo
rein	infreno
furnish_with_bridle	infreno
bold	animosus
courageous	animosus
gylippus	gylippus
hissing	stridulus
conceal	obscuro
beautiful	excellens
