sevenfold	septemplex
din	crepitus
attempt	conatus
languid	languidus
quarrel	lis
lawsuit	lis
cover	contego
status	condicio
situation	condicio
agreement	condicio
numbness	torpor
incurable	immedicabilis
megaera	megaera
majesty	maiestas
greatness	maiestas
loosen	discludo
open	discludo
trivial	ludicer
vain	ludicer
threaten	minitor
demand	efflagito
echo	responso
umbrian	umber
glitter	resplendeo
incline	vergo
command	imperito
taburnus	taburnus
sila	sila
apennines	appenninus
indicate	significo
saces	saces
attack	incesso
happen	accido
fall	accido
waxen	cereus
lyrnesus	lyrnesus
cupencus	cupencus
hyllus	hyllus
murranus	murranus
ransack	populor
ravage	populor
rent	conduco
hire	conduco
peridia	peridia
theban	echionius
echionian	echionius
onites	onites
cethegus	cethegus
tanais	tanais
talos	talos
sucro	sucro
rapid	incitus
food	esca
swallow	hirundo
wagon	temo
metiscus	metiscus
heroine	virago
epulo	epulo
arcetius	arcetius
osiris	osiris
kiss	delibo
sip	delibo
juice	sucus
ambrosia	ambrosia
healthy	salubris
stalk	caulis
pubescent	pubes
youthful	pubes
dittany	dictamnus
aid	subvenio
medical	medicus
healing	medicus
touch	degusto
lance	lancea
edonic	edonus
plunging	sternax
sybaris	sybaris
asbytes	asbytes
measure	metior
affect	afficio
spy	speculator
courier	speculator
dolon	dolon
eumedes	eumedes
imbrasus	imbrasus
lades	lades
thamyrus	thamyrus
wretchedly	miserabile
thrace	thraca
sudden	repens
overhang	superimmineo
alsus	alsus
podalirius	podalirius
vapor	nidor
ebusus	ebusus
victim	victima
rein	infreno
bold	animosus
courageous	animosus
gylippus	gylippus
hissing	stridulus
conceal	obscuro
beautiful	excellens
surpassing	excellens
reduce	recido
consecrate	sancio
shrine	sacrarium
token	specimen
pour	profundo
juturna	iuturna
rest	reclino
recline	reclino
laurel	verbena
measure	dimetior
exalted	elatus
high	elatus
myrrh	murra
summons	vocatus
calling	vocatus
brass	orichalcum
surpass	anteeo
orithyia	orithyia
idmon	idmon
rose	rosa
redness	rubor
tilt	inclino
bend	inclino
influence	inclino
heal	medeor
disprove	refuto
repel	refuto
receive	adscio
ally	adscio
white	albeo
composed	sedatus
renegade	desertor
grow	glisco
robber	latro
unappeasable	implacabilis
dash	arieto
stumble	arieto
strike	arieto
galloping	quadrupedus
atinas	atinas
dercennus	dercennus
maltreat	mulco
beat	mulco
acca	acca
hide	remulceo
fondle	remulceo
breast	papilla
nipple	papilla
cretan	gortynius
gortynian	gortynius
foreign	peregrinus
chloreus	chloreus
wherever	quacumque
arruns	arruns
maeonidae	maeonidae
example	exemplum
sample	exemplum
sinuous	sinuosus
eagle	aquila
opposed	adversus
against	adversus
opposite	adversus
facing	adversus
disembowel	eviscero
hawk	accipiter
aunus	aunus
appenninicola	appenninicola
redouble	congemino
mock	eludo
disprove	redarguo
feminine	muliebris
female	muliebris
adjectively	pugnator
fighter	pugnator
huntsman	venator
ornytus	ornytus
chromis	chromis
demophoon	demophoon
harpalycus	harpalycus
tereus	tereus
hippotades	hippotades
amastrus	amastrus
pagasus	pagasus
liris	liris
euneus	euneus
hippolyte	hippolyte
thermodon	thermodon
attendant	ministra
servant	ministra
tarpeia	tarpeia
tulla	tulla
larina	larina
unwearied	indefessus
amazon	amazon
herminius	herminius
iollas	iollas
leg	crus
shin	crus
impatient	impatiens
orsilochus	orsilochus
overcast	superiacio
aconteus	aconteus
tyrrhenus	tyrrhenus
cover	obtexo
reach	iactus
shot	iactus
leap	iactus
cast	iactus
precisely	numero
upon	inspoliatus
virginity	virginitas
swan	olor
lip	labrum
fierceness	feritas
book	liber
full	abundans
overflowing	abundans
casmilla	casmilla
metabus	metabus
privernum	privernum
delight	dulcedo
sweetness	dulcedo
latonia	latonia
opis	opis
recantation	receptus
retraction	receptus
fit	accommodus
hollow	convexus
scout	explorator
luxuriant	luxurio
mare	equa
protector	praeses
perfume	vaporo
fumigate	vaporo
matron	matrona
company	manipulus
volusus	volusus
chirping	loquax
talkative	loquax
padusa	padusa
disagreement	dissensus
blessing	bonum
good	bonum
tolumnius	tolumnius
bite	mordeo
embitter	acerbo
aufidus	aufidus
adriatic	hadriacus
deservedly	merito
eloquence	eloquium
unlamented	infletus
cheap	vilis
inviolable	inviolabilis
violence	violentia
mutter	musso
fame	nobilitas
weak	futilis
vain	futilis
chair	sella
seat	sella
material	materies
ally	adscisco
adopt	adscisco
troublesome	importunus
resemble	assideo
roaring	fremor
beware	caveo
greece	graecia
grasp	appeto
tearful	lacrimosus
dreadful	horribilis
mycenaean	mycenaeus
proteus	proteus
caphereus	caphareus
garganus	garganus
argyripa	argyripa
outlay	impensa
darken	obumbro
overshadow	obumbro
aggravate	ingravo
bereft	orbus
opulent	praedives
wealthy	praedives
bury	infodio
invert	inverto
slay	iugulo
untimely	immaturus
surviving	superstes
beginning	rudimentum
prudent	cautus
careful	cautus
cautious	cautus
beat	plango
separate	discrimino
foreboding	praenuntius
cart	plaustrum
sequestrpace	sequester
drances	drances
limit	finio
finish	finio
refuse	aspernor
repel	aspernor
slight	aspernor
aethon	aethon
hyacinth	hyacinthus
violet	viola
thumb	pollex
reap	demeto
couch	stramen
shade	inumbro
overshadow	inumbro
covering	obtentus
oaken	quernus
present	intersum
between	intersum
protection	praesidium
shameful	pudendus
equally	aeque
acoetes	acoetes
anticipate	praesumo
ride	equito
horseman	equito
hairy	hirsutus
rough	hirsutus
accustom	consuesco
rhaebus	rhaebus
disfigure	deformo
hair	capillus
soil	turpo
uplift	sublevo
genius	indoles
weave	neo
spin	neo
ploughman	arator
impede	inligo
famed	memorandus
recall	reminiscor
antores	antores
vow	voveo
undaunted	imperterritus
nealces	nealces
thronius	thronius
valerus	valerus
agis	agis
ericetes	ericetes
orses	orses
rapo	rapo
parthenius	parthenius
hydaspes	hydaspes
sacrator	sacrator
alcathous	alcathous
orodes	orodes
acron	acron
rage	infremo
bellow	infremo
reedy	harundineus
vesulus	vesulus
theano	theano
mimas	mimas
euanthes	euanthes
palmus	palmus
latagus	latagus
dolichaon	dolichaon
disgrace	dedecus
shame	dedecus
loftily	sublime
osinius	osinius
mound	crepido
base	crepido
counterfeit	adsimulo
words	orsa
weeping	adlacrimans
immediate	instans
present	instans
daunus	daunus
leap	salio
fury	fervor
lucagus	lucagus
niphaeus	niphaeus
aegaean	aegaeon
amyclae	amyclae
ausonides	ausonides
lucas	lucas
antaeus	antaeus
fish	piscis
there	istic
dryope	dryope
tarquitus	tarquitus
perhaps	fortasse
anxur	anxur
haemonides	haemonides
negotiation	commercium
trade	commercium
quivering	tremebundus
cunning	astus
magus	magus
immolate	immolo
eurytides	eurytides
clonus	clonus
bestow	largior
piercing	penetrabilis
irrecoverable	inreparabilis
near	contiguus
savage	trux
beholder	spectator
undestroyed	imperditus
destroy	interimo
terrify	perterreo
unarmed	inermus
imaon	imaon
hurled	missilis
strymonius	strymonius
demodocus	demodocus
pheres	pheres
ladon	ladon
tyres	tyres
teuthras	teuthras
intercept	intercipio
rhoeteus	rhoeteus
cut	decido
evandrian	evandrius
unseparated	indiscretus
thymber	thymber
larides	larides
anchemolus	anchemolus
sthenius	sthenius
comrade	sodalis
hisbo	hisbo
recover	recepto
lagus	lagus
nature	natura
unmounted	pedester
pedestrian	pedester
overthrow	diruo
thicket	arbustum
grove	arbustum
ismar	ismara
dryops	dryops
strict	rigidus
rigid	rigidus
hard	rigidus
graze	perstringo
thigh	femur
direction	tenor
course	tenor
maeon	maeon
partly	partim
cydon	cydon
down	lanugo
pharon	pharon
melampus	melampus
club	clava
lichas	lichas
sew	suo
theron	theron
kill	occido
retreat	relabor
support	sustento
strike	infligo
unhindered	inoffensus
resound	remurmuro
faint	langueo
trust	concredo
break	perfringo
sirian	sirius
mournfully	lugubre
comet	cometes
crane	grus
strymonian	strymonius
repair	reficio
paddle	subremigo
cybele	cybele
phoebe	phoebe
nightly	noctivagus
help	subsidium
murmur	murmuro
hairy	hispidus
shaggy	hispidus
aulestes	aulestes
mincius	mincius
benacus	benacus
mantu	mantua
manto	manto
ocnus	ocnus
cycnus	cycnus
cupavo	cupavo
cinyrus	cinyrus
ligurian	ligus
graviscae	graviscae
pyrgi	pyrgi
minio	minio
astur	astur
pisae	pisae
alphean	alpheus
prophetic	praesagus
unexhausted	inexhaustus
ilv	ilva
populonia	populonia
quiver	gorytus
cosa	cosa
clusium	clusium
pactolus	pactolus
eminent	generosus
noble	generosus
ismarus	ismarus
decent	honestus
honorable	honestus
mnestheus	menestheus
acmon	acmon
lyrnesian	lyrnesius
thaemon	thaemon
clarus	clarus
thymbris	thymbris
castor	castor
imbrasides	imbrasides
asius	asius
enterprise	exorsum
quarrel	iurgium
altercation	iurgium
adulterer	adulter
perishing	fluxus
draw	obtendo
bride	pacta
venilia	venilia
amathus	amathus
truly	sane
certainly	sane
untried	intentatus
fault	peccatum
arpi	arpi
aetolian	aetolus
overflow	inundo
prohibition	vetitum
breathe	respiro
jingling	tinnitus
unhastened	improperatus
cretheus	cretheus
clytius	clytius
ravager	vastator
sword	gladius
lynceus	lynceus
prytanis	prytanis
noemon	noemon
halius	halius
alcander	alcander
halys	halys
obtrude	ingero
carry	ingero
gyges	gyges
hamstring	poples
phaleris	phaleris
uncultivated	rudis
exclude	excludo
warrior	bellator
inarime	inarime
prochyt	prochyta
mole	pila
pier	pila
baiae	baiae
faithful	fidelis
loudly	magnum
largely	magnum
aphidnus	aphidnus
erymas	erymas
merops	merops
lungs	pulmo
lung	pulmo
chest	stomachus
theban	thebanus
antiphates	antiphates
incite	concieo
supply	praebeo
haemon	haemon
tmarus	tmarus
aquicolus	aquicolus
quercens	quercens
athesis	athesis
iaera	iaera
alcanor	alcanor
penalty	multa
striking	flictus
justly	iure
rightly	iure
honored	mactus
drum	tympanum
dindyma	dindyma
chaplet	redimiculum
inactivity	desidia
idleness	desidia
saffron	crocum
weaken	debilito
awake	invigilo
numanus	numanus
split	diffindo
sling	funda
palici	palici
needle	acus
hairpin	acus
arcens	arcens
themillas	themillas
privernus	privernus
idas	idas
promolus	promolus
dioxippus	dioxippus
clonius	clonius
itys	itys
ortygius	ortygius
asilas	asilas
liger	liger
emathion	emathion
lucetius	lucetius
fracture	fragmen
pleasantness	lepor
licymnia	licymnia
helenor	helenor
consume	adedo
capture	expugno
assault	expugno
calliope	calliope
projectile	missile
missile	missile
open	interluceo
actor	actor
numb	torpeo
hastening	festinus
announcing	nuntius
winged	pennatus
numa	numa
stab	confodio
push	proturbo
vexed	gravor
burdened	gravor
rain	pluvia
cut	succido
tagus	tagus
gasp	singultus
sulmo	sulmo
cupola	tholus
hyrtacus	hyrtacus
latonian	latonius
parting	divortium
separation	divortium
lurid	sublustris
volcens	volcens
caedicus	caedicus
distant	absens
absent	absens
remulus	remulus
boss	bulla
amulet	bulla
locket	bulla
bubble	bulla
complete	perfectus
excessive	nimius
abaris	abaris
rhoetus	rhoetus
herbesus	herbesus
fadus	fadus
rave	perfuro
mute	mutus
inarticulate	mutus
insane	vesanus
unfed	impastus
lamus	lamus
lamyrus	lamyrus
sob	singulto
rashly	temere
blow	proflo
rhamnes	rhamnes
foremost	primoris
first	primoris
exchange	permuto
lycaon	lycaon
weep	inlacrimo
dissimilar	dissimilis
sixth	sex
six	sex
red	rubeo
arisba	arisba
immediately	actutum
promptly	actutum
destroy	deleo
immediately	confestim
pursue	persequor
buy	emo
train	erudio
instruct	erudio
opheltes	opheltes
summon	accio
unshorn	intonsus
unshaven	intonsus
diversify	vario
vary	vario
refresh	procuro
injure	pecco
fertile	fertilis
productive	fertilis
before	prae
plunge	demergo
dip	demergo
pitch	pix
galatea	galatea
doto	doto
nereian	nereius
heavens	mundus
universe	mundus
world	mundus
disquieted	anxius
troubled	anxius
shape	formo
form	formo
protection	praesentia
presence	praesentia
fortification	vallum
fired	ignesco
bleating	balatus
endure	perpetior
sheepcote	ovile
ambush	insidior
ganges	ganges
soothe	sedo
etruscan	lydus
lydian	lydus
thaumantias	thaumantias
pilumnus	pilumnus
araxes	araxes
dahae	dahae
rhine	rhenus
euphrates	euphrates
carian	car
leleges	leleges
african	afer
mulciber	mulciber
ungird	discingo
examine	recognosco
iapyx	iapyx
arab	arabs
anubis	anubis
barker	latrator
egyptian	aegyptius
bactra	bactra
egypt	aegyptos
red	ruber
antonius	antonius
beaked	rostratus
agrippa	agrippa
overhanging	minax
projecting	minax
catilina	catilina
chariot	pilentum
luperci	luperci
milky	lacteus
goose	anser
stalk	culmus
manlius	manlius
cloelia	cloelia
cocles	cocles
bridge	pons
porsenn	porsenna
thorn	vepres
mettus	mettus
sow	porca
pig	porca
tatius	tatius
romans	romulidae
texture	textum
fatal	fatifer
