ward_off_by_earnest_prayer	deprecor
sevenfold	septemplex
thunder_clap	crepitus
din	crepitus
pertaining_walls	muralis
sink_down	succido
fall_down	succido
attempt	conatus
languid	languidus
quarrel	lis
lawsuit	lis
cover	contego
status	condicio
situation	condicio
agreement	condicio
numbness	torpor
beat_violently	everbero
late_at_night	serum
the_dead_of_night	serum
incurable	immedicabilis
Megaera	Megaera
majesty	maiestas
greatness	maiestas
swear_by	adiuro
Heroes_elevated_gods_after_death	Indigetes
loosen	discludo
open	discludo
the_wild_olive	oleaster
trivial	ludicer
vain	ludicer

weave_again	retexo
threaten	minitor
demand	efflagito
ask_urgently	efflagito
echo	responso
make_answer	responso
Umbrian	Umber
glitter	resplendeo
shine_brightly	resplendeo
go_down	vergo
incline	vergo
command	imperito
Taburnus	Taburnus
Sila	Sila
Apennines	Appenninus

hold_back	inhibeo
indicate	significo
join_together	compingo
flash/strike_like_lightning	fulmino
Saces	Saces
tear_asunder	discindo
attack	incesso
happen	accido
fall	accido
of_wax	cereus
waxen	cereus
is_pleasing	libet
it_pleases	libet
free_from_service	immunis
Lyrnesus	Lyrnesus
an_over_thrower	eversor
Cupencus	Cupencus
Hyllus	Hyllus
tread_down	proculco
Murranus	Murranus
ransack	populor
ravage	populor
lay_waste	populor
running_down	decursus
rent	conduco
hire	conduco
bring_together	conduco
Peridia	Peridia
Theban	Echionius
Echionian	Echionius
of_Echion	Echionius
Onites	Onites
Cethegus	Cethegus
Tanais	Tanais
Talos	Talos
cut_off	abscido
Sucro	Sucro
turn_one’s_self	diverto
rapid	incitus
food	esca
swallow	hirundo
fly_through_or_over	pervolo
wagon	temo
the_tongue_or_pole_of_plow_or_cart	temo
Metiscus	Metiscus
heroine	virago
woman_of_masculine_spirit	virago
Epulo	Epulo
Arcetius	Arcetius
Osiris	Osiris
grow_up	adolesco
kiss	delibo
sip	delibo
come_about	provenio
come_forth	provenio
all_heal	panacea
an_herb_which_cured_all_diseases	panacea
sweet_scented	odorifer
juice	sucus
ambrosia	ambrosia
healthy	salubris
stalk	caulis
pubescent	pubes
youthful	pubes
dittany	dictamnus
aid	subvenio
medical	medicus
healing	medicus
running_forward	procursus
touch	degusto
taste_of	degusto
double_plaited	bilix
lance	lancea
swiftly_driven_or_swiftly_running	citatus
Edonic	Edonus
throwing_rider	sternax
plunging	sternax
Sybaris	Sybaris
Asbytes	Asbytes
measure	metior
wrench_away	extorqueo
twist_out	extorqueo
come_over_or_come_unexpectedly	supervenio
void_space	inane
visit_with	afficio
affect	afficio
spy	speculator
courier	speculator
Dolon	Dolon
Eumedes	Eumedes
Imbrasus	Imbrasus
Lades	Lades
Thamyrus	Thamyrus
mix_by_trampling	calco
trample_upon	calco
put_under_the_heel	calco
wretchedly	miserabile
Thrace	Thraca
trample_upon_or_down	protero
rub_before	protero
sudden	repens
overhang	superimmineo
Alsus	Alsus
Podalirius	Podalirius
vapor	nidor
Ebusus	Ebusus
burn_round	amburo
victim	victima
an_animal_offered_in_sacrifice	victima
of_beams	trabalis
put_flight	proterreo
frighten_forth_or_away	proterreo
rein	infreno
