English,Latin_Lemma
that,ille
"I, me",ego
"who, which",qui
"formerly, at times, sometimes",quondam
thin,gracilis
to measure; regulate,modulor
a straw,avena
"song, poem",carmen
and,et
to depart,egredior
forest,silva
neighboring,vicinus
to drive together; compel,cogo
"so that; as, when; that; how? In what manner?",ut
"even though, although",quamvis
"greedy, keen",avidus
"to obey, appear, be present",pareo
field,arvum
"farmer, colonist",colonus
pleasant; grateful,gratus
work; need,opus
farmer,agricola
but,at
now,nunc
bristling,horrens
Mars,Mars
"arms, weapons",arma
man,vir
and,que
to sing,cano
Troy,Troia
first,primus
"from, by",a
"shore, coast",ora
Italy,Italia
"destiny, fate",fatum
"fugitive, exiled",profugus
Lavinius,Lavinius
to come,venio
sea–shore,litus
"much, a lot",multum
land,terra
to throw,iacto
deep sea; height,altum
force,vis
"those above, i.e. the gods",superi
savage,saevus
remembering,memor
Juno,Iuno
on account of,ob
anger,ira
"much, many",multus
also,quoque
war,bellum
"to permit, endure",patior
"while, until, provided that",dum
"to build, store up, place",condo
city,urbs
to bring upon/against,infero
god,deus
Latium,Latium
origin,genus
"from where, whence",unde
of Latium; Latin,Latinus
pertaining to Alba Longa (city in Latium; birthplace of Romulus and Remus),Albanus
father; (in pl.) Patricians; Senators,pater
"and, also",atque
"tall, high; deep",altus
walls,moenia
Rome,Roma
a Muse,Musa
"cause, reason, lawsuit",causa
to remember,memoro
"who, what",quis
divine will,numen
"to injure by striking, hurt",laedo
or (postpositive enclitic),ve
to feel pain/grief,doleo
queen,regina
so many,tot
"to roll, to ponder",volvo
"fall, chance",casus
distinguished,insignis
devotion,pietas
to go to,adeo
work,labor
to strike against,impello
"so much, so great",tantus
(added to the first word of a question),ne
"spirit, mind",animus
from heaven,caelestis
"ancient, old",antiquus
to be,sum
of Tyre; Tyrian or Phoenician,Tyrius
to hold,teneo
Carthage,Carthago
"against, opposite (adv. and prep. +acc.)",contra
pertaining to the Tiber,Tiberinus
"long, far",longus
door,ostium
rich; as substantive rich man,dives
resources,ops
eagerness,studium
rough,asper
"to bear, carry, report",fero
more,magis
every; all,omnis
1,unus
"to hold next; esteem less, overlook",posthabeo
"to inhabit, cultivate",colo
Samos (island),Samos
here,hic
chariot,currus
"this, these",hic
"royal power, kingdom",regnum
goddess,dea
"family, clan",gens
if,si
"anyone/thing, someone/thing",quis
to allow,sino
now; already,iam
"then, at that time",tum
to stretch,tendo
to warm; favor,foveo
descent,progenies
but,sed
"in fact, for",enim
Trojan,Troianus
blood,sanguis
to lead; consider,duco
to hear,audio
formerly,olim
to turn,verto
"summit, citadel",arx
"from here, hence",hinc
people,populus
"broad, wide",latus
king,rex
arrogant,superbus
complete cutting or tearing down; razing,excidium
Libya,Libya
"so, in this way",sic
Parca; one of the Fates,Parca
"he, she it; that",is
"to fear, dread",metuo
old,vetus
beloning to Saturn; Saturnian,Saturnius
"to, up to, towards",ad
"on behalf of, for, instead of, in accordance with (+ abl.)",pro
precious,carus
"to bear, manage",gero
Argive; Greek,Argus
nor yet,necdum
also,etiam
"pain, grief",dolor
"to fall out, drop; perish; be forgotten",excido
to remain,maneo
mind,mens
to put back,repono
decision; trial,iudicium
Paris,Paris
to reject,sperno
"injustice, wrong",iniuria
shape; beauty,forma
"hated, hostile",invisus
"to seize, carry off",rapio
Ganymede,Ganymedes
honor; office,honor
"to kindle, set on fire",accendo
over (adv. and prep. +acc.),super
level surface; sea; plain,aequor
whole,totus
Trojans,Troes
remains,reliquiae
"Danai, Greeks",Danai
"hard, harsh, cruel",immitis
Achilles (name),Achilles
"to shut in, shut up",arceo
through,per
year,annus
"to wander, err",erro
"to drive, do, act, concern oneself with",ago
sea,mare
around,circum
large/shapeless mass; rock,moles
Roman,Romanus
scarcely,vix
"out of, from",e
"look, sight, view",conspectus
pertaining to the Sicani; Sicilian,Siculus
earth,tellus
"in, on",in
"sail, awning",velum
to give,do
happy,laetus
froth,spuma
"salt, wit",sal
"copper, bronze; money",aes
to rush,ruo
when; since; although,cum
"everlasting, eternal",aeternus
to save,servo
under,sub
"chest, breast; heart",pectus
wound,vulnus
"himself, herself, itself (reflexive)",sui
with (prep. +abl.),cum
beginning; deliberation,inceptum
"to cease, desist",desisto
to conquer,vinco
nor; and not,nec
to be able,possum
"of Teucer, Trojan",Teucrus
to turn away,averto
indeed,quippe
to forbid,veto
Pallas,Pallas
to burn out,exuro
"division, fleet",classis
"himself, herself, itself (intensive)",ipse
to plunge beneath; submerge,summergo
the open sea,pontus
"harm, injury",noxa
rage,furiae
Ajax,Aiax
Oileus,Oileus
Jupiter,Iuppiter
swift,rapidus
to hurl the javelin; to dart; throw,iaculor
cloud,nubes
fire,ignis
to throw,disicio
raft,ratis
"to overturn, overthrow",everto
wind,ventus
to breathe out,exspiro
to transfix,transfigo
flame,flamma
whirlwind,turbo
"to seize, plunder; rebuke",corripio
projecting ledge of rock; high cliff or rock,scopulus
to fasten in or upon,infigo
"sharp, piercing",acutus
god,divus
"to go, happen; proceed; walk (in a stately manner)",incedo
sister,soror
spouse,coniunx
"someone, anyone",quisquam
"to pray to, venerate",adoro
besides,praeterea
"or, either...or",aut
suppliant,supplex
altar,ara
"to put on, impose",impono
such,talis
to set on fire,flammo
heart,cor
to roll about; to roll back,voluto
"rain–cloud, cloud–burst, downpour",nimbus
country,patria
"place, region",locus
pregnant,fetus
"to rage, be mad",furo
the southerly or south wind,Auster
Aeolia,Aeolia
empty; vast,vastus
Aeolus,Aeolus
cave,antrum
"to wrestle, struggle, strive",luctor
season; storm,tempestas
loud–sounding,sonorus
"command, power",imperium
to press,premo
and in addition,ac
bond,vinculum
jail,carcer
to bridle,freno
to deem unworthy; to fret,indignor
great,magnus
"rumble, roar; murmur",murmur
mountain,mons
"bolt, bar",claustrum
to roar,fremo
"high, lofty",celsus
to sit,sedeo
royal staff; scepter,sceptrum
"to soften, soothe",mollio
to moderate,tempero
if...not; unless,nisi
"to do, make",facio
"sky, heaven",caelum
deep,profundus
to sweep,verro
breeze,aura
all–powerful,omnipotens
cave,spelunca
to withdraw; conceal,abdo
black,ater
"above, overhead",insuper
"contract, treaty",foedus
"sure, fixed",certus
"wide, loose, spacious; not drawn tight; (of bows) unstrung",laxus
to know,scio
to order,iubeo
rein,habena
voice,vox
to use,utor
for in fact,namque
you,tu
"human being, man",homo
to stroke; lick,mulceo
flood,fluctus
to raise; destroy,tollo
"unfriendly, hostile",inimicus
Tyrrhenian; Etruscan; Tuscan,Tyrrhenus
"to sail, navigate",navigo
"Ilium, Troy",Ilium
to carry a load,porto
"Penates, household gods",Penates
to strike into or upon; add,incutio
to cover,obruo
stern of a ship,puppis
"different, diverse",diversus
body,corpus
twice,bis
7; 7th,septem
outstanding,praestans
bride; nymph,nympha
beautiful,pulcher
Deiopea,Deiopea
marriage,conubium
to join,iungo
"steadfast, permanent",stabilis
one's own,proprius
to devote,dico
"punishment, reward",meritum
"to drive out; collect; achieve, complete",exigo
descendants,proles
parent,parens
your,tuus
O,o
to desire; choose,opto
"to explore, investigate",exploro
"command, order",iussum
to seize,capesso
right (indeclinable),fas
whoever,quicumque
"to advise, reconcile",concilio
"banquet, feast",epulae
to lie down,accumbo
powerful,potens
"where, when",ubi
"to say, speak",dico
hollow,cavus
