that,ille
I,
me,ego
who,
which,qui
formerly,
at times,
sometimes,quondam
thin,gracilis
measure,
regulate,modulor
straw,avena
song,
poem,carmen
and,et
depart,egredior
forest,silva
neighboring,vicinus
drive together,
compel,cogo
so that,
as,
when,
that,
how? In what manner?,ut
even though,
although,quamvis
greedy,
keen,avidus
obey,
appear,
present,pareo
field,arvum
farmer,
colonist,colonus
pleasant,
grateful,gratus
work,
need,opus
farmer,agricola
but,at
now,nunc
bristling,horrens
Mars,Mars
arms,
weapons,arma
man,vir
and,que
sing,cano
Troy,Troia
first,primus
from,
by,a
shore,
coast,ora
Italy,Italia
destiny,
fate,fatum
fugitive,
exiled,profugus
Lavinius,Lavinius
come,venio
sea–shore,litus
much,
lot,multum
land,terra
throw,iacto
deep sea,
height,altum
force,vis
those above,
i.e. the gods,superi
savage,saevus
remembering,memor
Juno,Iuno
on account of,ob
anger,ira
much,
many,multus
also,quoque
war,bellum
permit,
endure,patior
while,
until,
provided that,dum
build,
store up,
place,condo
city,urbs
bring upon/against,infero
god,deus
Latium,Latium
origin,genus
from where,
whence,unde
of Latium,
Latin,Latinus
pertaining AlbLong(city in Latium,
birthplace of Romulus and Remus),Albanus
father,
(in pl.) Patricians,
Senators,pater
and,
also,atque
tall,
high,
deep,altus
walls,moenia
Rome,Roma
Muse,Musa
cause,
reason,
lawsuit,causa
remember,memoro
who,
what,quis
divine will,numen
injure by striking,
hurt,laedo
or (postpositive enclitic),ve
feel pain/grief,doleo
queen,regina
so many,tot
roll,
ponder,volvo
fall,
chance,casus
distinguished,insignis
devotion,pietas
go to,adeo
work,labor
strike against,impello
so much,
so great,tantus
(added the first word of question),ne
spirit,
mind,animus
from heaven,caelestis
ancient,
old,antiquus
be,sum
of Tyre,
Tyrian or Phoenician,Tyrius
hold,teneo
Carthage,Carthago
against,
opposite (adv. and prep. +acc.),contra
pertaining the Tiber,Tiberinus
long,
far,longus
door,ostium
rich,
as substantive rich man,dives
resources,ops
eagerness,studium
rough,asper
bear,
carry,
report,fero
more,magis
every,
all,omnis
1,unus
hold next,
esteem less,
overlook,posthabeo
inhabit,
cultivate,colo
Samos (island),Samos
here,hic
chariot,currus
this,
these,hic
royal power,
kingdom,regnum
goddess,dea
family,
clan,gens
if,si
anyone/thing,
someone/thing,quis
allow,sino
now,
already,iam
then,
at that time,tum
stretch,tendo
warm,
favor,foveo
descent,progenies
but,sed
in fact,
for,enim
Trojan,Troianus
blood,sanguis
lead,
consider,duco
hear,audio
formerly,olim
turn,verto
summit,
citadel,arx
from here,
hence,hinc
people,populus
broad,
wide,latus
king,rex
arrogant,superbus
complete cutting or tearing down,
razing,excidium
Libya,Libya
so,
in this way,sic
Parca,
one of the Fates,Parca
he,
she it,
that,is
fear,
dread,metuo
old,vetus
beloning Saturn,
Saturnian,Saturnius
to,
up to,
towards,ad
on behalf of,
for,
instead of,
in accordance with (+ abl.),pro
precious,carus
bear,
manage,gero
Argive,
Greek,Argus
nor yet,necdum
also,etiam
pain,
grief,dolor
fall out,
drop,
perish,
forgotten,excido
remain,maneo
mind,mens
put back,repono
decision,
trial,iudicium
Paris,Paris
reject,sperno
injustice,
wrong,iniuria
shape,
beauty,forma
hated,
hostile,invisus
seize,
carry off,rapio
Ganymede,Ganymedes
honor,
office,honor
kindle,
set on fire,accendo
over (adv. and prep. +acc.),super
level surface,
sea,
plain,aequor
whole,totus
Trojans,Troes
remains,reliquiae
Danai,
Greeks,Danai
hard,
harsh,
cruel,immitis
Achilles (name),Achilles
shut in,
shut up,arceo
through,per
year,annus
wander,
err,erro
drive,
do,
act,
concern oneself with,ago
sea,mare
around,circum
large/shapeless mass,
rock,moles
Roman,Romanus
scarcely,vix
out of,
from,e
look,
sight,
view,conspectus
pertaining the Sicani,
Sicilian,Siculus
earth,tellus
in,
on,in
sail,
awning,velum
give,do
happy,laetus
froth,spuma
salt,
wit,sal
copper,
bronze,
money,aes
rush,ruo
when,
since,
although,cum
everlasting,
eternal,aeternus
save,servo
under,sub
chest,
breast,
heart,pectus
wound,vulnus
himself,
herself,
itself (reflexive),sui
with (prep. +abl.),cum
beginning,
deliberation,inceptum
cease,
desist,desisto
conquer,vinco
nor,
and not,nec
able,possum
of Teucer,
Trojan,Teucrus
turn away,averto
indeed,quippe
forbid,veto
Pallas,Pallas
burn out,exuro
division,
fleet,classis
himself,
herself,
itself (intensive),ipse
plunge beneath,
submerge,summergo
the open sea,pontus
harm,
injury,noxa
rage,furiae
Ajax,Aiax
Oileus,Oileus
Jupiter,Iuppiter
swift,rapidus
hurl the javelin,
dart,
throw,iaculor
cloud,nubes
fire,ignis
throw,disicio
raft,ratis
overturn,
overthrow,everto
wind,ventus
breathe out,exspiro
transfix,transfigo
flame,flamma
whirlwind,turbo
seize,
plunder,
rebuke,corripio
projecting ledge of rock,
high cliff or rock,scopulus
fasten in or upon,infigo
sharp,
piercing,acutus
god,divus
go,
happen,
proceed,
walk (in stately manner),incedo
sister,soror
spouse,coniunx
someone,
anyone,quisquam
pray to,
venerate,adoro
besides,praeterea
or,
either...or,aut
suppliant,supplex
altar,ara
put on,
impose,impono
such,talis
set on fire,flammo
heart,cor
roll about,
roll back,voluto
rain–cloud,
cloud–burst,
downpour,nimbus
country,patria
place,
region,locus
pregnant,fetus
rage,
mad,furo
the southerly or south wind,Auster
Aeolia,Aeolia
empty,
vast,vastus
Aeolus,Aeolus
cave,antrum
wrestle,
struggle,
strive,luctor
season,
storm,tempestas
loud–sounding,sonorus
command,
power,imperium
press,premo
and in addition,ac
bond,vinculum
jail,carcer
bridle,freno
deem unworthy,
fret,indignor
great,magnus
rumble,
roar,
murmur,murmur
mountain,mons
bolt,
bar,claustrum
roar,fremo
high,
lofty,celsus
sit,sedeo
royal staff,
scepter,sceptrum
soften,
soothe,mollio
moderate,tempero
if...not,
unless,nisi
do,
make,facio
sky,
heaven,caelum
deep,profundus
sweep,verro
breeze,aura
all–powerful,omnipotens
cave,spelunca
withdraw,
conceal,abdo
black,ater
above,
overhead,insuper
contract,
treaty,foedus
sure,
fixed,certus
wide,
loose,
spacious,
not drawn tight,
(of bows) unstrung,laxus
know,scio
order,iubeo
rein,habena
voice,vox
use,utor
for in fact,namque
you,tu
human being,
man,homo
stroke,
lick,mulceo
flood,fluctus
raise,
destroy,tollo
unfriendly,
hostile,inimicus
Tyrrhenian,
Etruscan,
Tuscan,Tyrrhenus
sail,
navigate,navigo
Ilium,
Troy,Ilium
carry load,porto
Penates,
household gods,Penates
strike inor upon,
add,incutio
cover,obruo
stern of ship,puppis
different,
diverse,diversus
body,corpus
twice,bis
7,
7th,septem
outstanding,praestans
bride,
nymph,nympha
beautiful,pulcher
Deiopea,Deiopea
marriage,conubium
join,iungo
steadfast,
permanent,stabilis
one's own,proprius
devote,dico
punishment,
reward,meritum
drive out,
collect,
achieve,
complete,exigo
descendants,proles
parent,parens
your,tuus
O,o
desire,
choose,opto
explore,
investigate,exploro
command,
order,iussum
seize,capesso
right (indeclinable),fas
whoever,quicumque
advise,
reconcile,concilio
banquet,
feast,epulae
lie down,accumbo
powerful,potens
where,
when,ubi
say,
speak,dico
hollow,cavus
turn round,
cause turn,
turn back,converto
sharp point,
spear,cuspis
side,
flank,
strength,latus
just as,velut
line of march,agmen
where,
how,
anyhow,
anywhere,qua
gate,porta
blew through or over,
sweep over,perflo
lean or recline upon (w. dat.),
bear down on (in military or sexual sense),incumbo
seat,sedes
low,
vile,
subst. inhabitant of the underworld,inferus
together,una
Southwest wind,Eurus
the south wind,Notus
thick,
crowded,
close,creber
gale,procella
African,Africus
follow after,
pursue,insequor
outcry,
shout,clamor
harsh,stridor
rope,
cord,
pl.,rudens
tear away,
snatch away,eripio
suddenly,subito
day,dies
eye,oculus
night,nox
lie,incubo
thunder forth,intono
pole,
heavens,polus
move quickly and fro,
vibrate,mico
upper air,aether
present,praesens
stretch,intento
death,mors
immediately,extemplo
Aeneas,Aeneas
release,
pay,solvo
cold,frigus
limb,membrum
sigh or groan,ingemo
double,duplex
star,sidus
hand,
palm,palma
bring back,refero
3 times,ter
4 times,quater
happy,
blessed,beatus
before,
in front of (adv. and prep. +acc.),ante
mouth,
face,os
touch,contingo
encounter,
perish,oppeto
brave,
strong,fortis
the son of Tydeus; Diomedes,Tydides
belonging Ilium,
Ilian,
Trojan,Iliacus
sink,occumbo
plain,campus
not,non
breath,
spirit,anima
pour out,effundo
right hand,dextera
son or descendant of Aeacus,Aeacides
spear,
missile weapon,telum
lie,iaceo
Hector,Hector
huge,ingens
Sarpedon,Sarpedon
Simois,Simois
wave,unda
shield,scutum
helmet,galea
produce grating or shrill sound,
creak,strideo
Aquilo,Aquilo
opposed,
opposite,
towards,adversus
hit,ferio
break,
shatter,frango
oar,remus
the extreme forward part of ship,
the prow,prora
heap,
flood,cumulus
burst or break off in front,
p.,praerumpo
water,aqua
above,superus
hang,pendeo
gape,dehisco
between,
among,
during,inter
open,aperio
heat,
wave,
tide,aestus
sand,
arena,arena
3,tres
take away violently,abripio
rock,
boulder,
stone,saxum
lie hidden,
hidden,lateo
twist,torqueo
call,voco
Italian,Italus
middle,
in the middle,
in half,medius
Aras (the Altars),Ara
the back,dorsum
huge,
monstrous,immanis
short,
brief,brevis
sand–bank or shoal in the sea,
esp.,syrtis
press,urgeo
deplorable,
deserving pitied,miserabilis
see,video
dash upon,inlido
ford,
shallow,vadum
mound,
rampart,agger
surround,cingo
Lycian,Lycius
faithful,
trustworthy,fidus
carry,veho
Orontes,Orontes
whirlpool,
peak,
summit,vertex
shake off,excutio
sloping,
easy,pronus
master,
chief,
teacher,magister
head,caput
in the same place,ibidem
swallow up,voro
appear,
become visible,appareo
loose,
thin,rarus
swim,no
whirlpool,gurges
plank,
(game) board,
painting,
writing tablet,tabula
of Troy,
Trojan,Troius
treasure,
royal treasury,gaza
strong,validus
Ilioneus,Ilioneus
ship,navis
Achates,Achates
Abas,Abas
very aged,grandaevus
Aletes,Aletes
winter,hiems
joining,
fastening,compages
receive,accipio
rain,imber
cleft,
crack,rima
come apart,
open,fatisco
meanwhile,interea
mix,
mingle,misceo
send out,emitto
perceive,sentio
Neptunus,Neptunus
standing water,stagnum
pour back or up,
cast,refundo
heavily,graviter
shake,
move away,commoveo
see in front,
inspect,prospicio
pleasant,placidus
lift up,
(fig.),extollo
press on,opprimo
collapse,ruina
artifice,
device,
trick,dolus
brother,frater
Zephyr (name),
or west wind,Zephyrus
then next,dehinc
speak,
say,for
you (plural),vos
trust,fiducia
your,vester
my,
mine,meus
without (+abl.),sine
dare,audeo
move,moveo
outstanding,praesto
build,
arrange,
bury,
calm down,compono
after (adv. and prep. +acc.),post
similar,similis
punishment,poena
an offense,commissum
satisfy,
pay for,luo
hasten,maturo
flight,
escape,fuga
sea,pelagus
three–pronged,
trident,tridens
fate,sors
house,
home,domus
forecourt,
palace,aula
close,claudo
rule,regno
say,
affirm,
say yes,aio
word,
saying,dictum
quickly,cito
swollen,tumidus
soothe,placo
collect,colligo
put flight,fugo
sun,sol
bring back,reduco
Cymothoe,Cymothoe
at the same time,simul
Triton,Triton
press upon,
(with dat.),adnitor
thrust down or away,
push off from,detrudo
raise,
make light,levo
wheel,rota
light,
trivial,levis
glide through or over,perlabor
often,saepe
arise,coorior
revolt,seditio
rage,saevio
unknown,ignobilis
common people,vulgus
torch,fax
fly,volo
madness,furor
attend,
serve,ministro
heavy,gravis
by chance,forte
catch sight of,
behold,conspicio
silent,sileo
raise up,
erect,
bristle up,arrigo
ear,auris
stand near,asto
rule,rego
all,cunctus
fall,cado
breaking,fragor
after,postquam
father,genitor
carry inor forward,
(pass.),inveho
bend,flecto
horse,equus
thong,
strap,lorum
following,
second,secundus
weary,
exhausted,defessus
son of Aeneas,Aeneades
near (prep. + acc.),prope
course,
advance,cursus
strain,
exert,contendo
seek,
go towards,peto
going apart,
retreat,secessus
island,
apartment block,insula
port,portus
carry out,
accomplish,efficio
throwing against,
projection,obiectus
fold,
pocket,
chest,sinus
cut,
rend,
tear asunder,scindo
drawn back,reductus
rock,rupes
twin,geminus
threaten,minor
safe,tutus
stage,
piece of theatrical behavior,
scene,scaena
vibrating,
gleaming,coruscus
from above,desuper
grove,
forest,nemus
threaten,
overhang,immineo
shadow,umbra
forehead,frons
within,
inside,intus
sweet,dulcis
alive,vivus
bench,sedile
tired,fessus
any,ullus
hooked,
crooked,uncus
tie or bind to,
hold fast,adligo
an anchor,ancora
bite,morsus
here,
hither,huc
number,
amount,numerus
go under,subeo
love,amor
desired,optatus
obtain,potior
melt,
drip,tabeo
limb,
leg,artus
place,pono
first,primum
flint,silex
spark,scintilla
strike out,excudo
take up,suscipio
leaf,folium
dry,aridus
nourishment,
fuel,nutrimentum
kindling stuff,
fuel,fomes
wheat,
Ceres,Ceres
destroy,
ruin,corrumpo
pertaining Ceres,Cerealis
set free,
(impersonal) useful,expedio
matter,
business,
affair,
thing,res
fruit,frux
take back,recipio
burn,
boil,torreo
prepare,paro
ascend,conscendo
looking forth,prospectus
Antheus (name),Antheus
Phrygian,
territory in Asiminor,
Trojan,Phrygius
boat with two oars,biremis
Capys,Capys
Caicus,Caicus
not any,
no,nullus
stag,cervus
herd,armentum
follow,
come next,sequor
the back of men or animals,tergum
valley,valles
feed,
nourish,pascor
take position,
,
halt,
stand,consisto
bow,
arch,arcus
hand,
band of men,manus
swift,celer
arrow,sagitta
leader,ductor
horn,cornu
pertaining trees,
branching,arboreus
spread,sterno
even,
also,et
formed of leaves,frondeus
crowd,
uproar,turba
stand off or away from,absisto
before,priusquam
conqueror,
victor,victor
pour,
scatter,fundo
ground,humus
make level,
equalize,aequo
ally,
comrade,socius
divide,
share,partior
wine,vinum
good,bonus
then,
next,deinde
jar,
wine–jar,cadus
load,
burden,onero
Acestes,Acestes
Sicilian,Trinacriaus
go away,abeo
demigod,
hero,heros
divide,
separate,divido
sorrowful,maereo
and not,
neither … nor …,neque
ignorant,ignarus
evil,
calamity,malum
end,
boundary,finis
pertaining Scylla,Scyllaeus
madness,rabies
internally,penitus
sounding,sonans
approach,
added,
included,accedo
pertaining the Cyclops,Cyclopius
test,
try,
experience,experior
call back,revoco
sad,
depressing,maestus
fear,timor
send,
release,
let go,mitto
perhaps,forsan
remember,
recollect,memini
help,
please,iuvo
varied,varius
division,
crisis,
difference,discrimen
at rest,
free from exertion,
inactive,
in repose,quietus
show,ostendo
there,illic
rise again,
reappear,resurgo
harden,
endure,duro
care,
concern,cura
sick,aeger
hope,spes
expression,vultus
imitate,simulo
booty,
prey,praeda
gird on,accingo
feast,daps
about be,
future,futurus
tear apart or off,
snatch,diripio
rib,costa
innards,viscus
bare,
strip,nudo
part,
portion,pars
piece,frustum
cut,seco
spit,veru
