SIMPLE_LEMMA,PART_OF_SPEECH,Total_Count_in_Text
ille,Pronoun,379
ego,Pronoun,389
qui,Pronoun,766
quondam,Adverb,41
gracilis,Adjective,1
modulor,Verb,1
avena,Noun,1
carmen,Noun,14
et,Conjunction,2083
egredior,Verb,7
silva,Noun,68
vicinus,Adjective,6
cogo,Verb,25
ut,Conjunction,160
quamvis,Adverb,5
avidus,Adjective,8
pareo,Verb,17
arvum,Noun,53
colonus,Noun,6
gratus,Adjective,14
opus,Noun,28
agricola,Noun,5
at,Conjunction,146
nunc,Adverb,216
horrens,Adjective,9
Mars,Noun,43
arma,Noun,279
vir,Noun,170
que,Conjunction,3212
cano,Verb,43
Troia,Noun,87
qui,Pronoun,766
primus,Number,200
a,Preposition,197
ora,Noun,50
Italia,Noun,44
fatum,Noun,125
profugus,Adjective,5
Lavinius,Adjective,2
que,Conjunction,3212
venio,Verb,122
litus,Noun,127
multum,Adverb,7
ille,Pronoun,379
et,Conjunction,2083
terra,Noun,166
iacto,Verb,31
et,Conjunction,2083
altum,Noun,28
vis,Noun,110
superi,Noun,17
saevus,Adjective,59
memor,Adjective,19
Iuno,Noun,56
ob,Preposition,16
ira,Noun,65
multus,Adjective,161
quoque,Adverb,25
et,Conjunction,2083
bellum,Noun,179
patior,Verb,32
dum,Conjunction,81
condo,Verb,45
urbs,Noun,196
infero,Verb,24
que,Conjunction,3212
deus,Noun,181
Latium,Noun,31
genus,Noun,70
unde,Adverb,26
Latinus,Adjective,63
Albanus,Adjective,8
que,Conjunction,3212
pater,Noun,172
atque,Conjunction,293
altus,Adjective,175
moenia,Noun,92
Roma,Noun,7
Musa,Noun,5
ego,Pronoun,389
causa,Noun,33
memoro,Verb,27
quis,Pronoun,350
numen,Noun,62
laedo,Verb,5
quis,Pronoun,350
ve,Conjunction,79
doleo,Verb,6
regina,Noun,41
deus,Noun,181
tot,Pronoun,46
volvo,Verb,53
casus,Noun,47
insignis,Adjective,29
pietas,Noun,22
vir,Noun,170
tot,Pronoun,46
adeo,Verb,17
labor,Noun,74
impello,Verb,19
tantus,Adjective,118
ne,Adverb,63
animus,Noun,162
caelestis,Adjective,5
ira,Noun,65
urbs,Noun,196
antiquus,Adjective,42
sum,Verb,531
Tyrius,Adjective,25
teneo,Verb,133
colonus,Noun,6
Carthago,Noun,10
Italia,Noun,44
contra,Preposition,75
Tiberinus,Adjective,9
que,Conjunction,3212
longus,Adjective,125
ostium,Noun,9
dives,Adjective,16
ops,Noun,26
studium,Noun,11
que,Conjunction,3212
asper,Adjective,31
bellum,Noun,179
qui,Pronoun,766
Iuno,Noun,56
fero,Verb,273
terra,Noun,166
magis,Adverb,24
omnis,Adjective,330
unus,Number,100
posthabeo,Verb,1
colo,Verb,20
Samos,Noun,2
hic,Adverb,133
ille,Pronoun,379
arma,Noun,279
hic,Adverb,133
currus,Noun,51
sum,Verb,531
hic,Pronoun,694
regnum,Noun,86
dea,Noun,55
gens,Noun,96
sum,Verb,531
si,Conjunction,206
quis,Pronoun,85
fatum,Noun,125
sino,Verb,31
iam,Adverb,250
tum,Adverb,248
tendo,Verb,71
que,Conjunction,3212
foveo,Verb,12
que,Conjunction,3212
progenies,Noun,9
sed,Conjunction,146
enim,Conjunction,39
Troianus,Adjective,46
a,Preposition,197
sanguis,Noun,96
duco,Verb,77
audio,Verb,55
Tyrius,Adjective,25
olim,Adverb,20
qui,Pronoun,766
verto,Verb,73
arx,Noun,52
hinc,Adverb,86
populus,Noun,43
latus,Adjective,60
rex,Noun,132
bellum,Noun,179
que,Conjunction,3212
superbus,Adjective,38
venio,Verb,122
excidium,Noun,6
Libya,Noun,12
sic,Adverb,162
volvo,Verb,53
Parca,Noun,8
is,Pronoun,82
metuo,Verb,11
vetus,Adjective,28
que,Conjunction,3212
memor,Adjective,19
Saturnius,Adjective,22
bellum,Noun,179
primus,Number,200
qui,Pronoun,766
ad,Preposition,322
Troia,Noun,87
pro,Preposition,48
carus,Adjective,24
gero,Verb,40
Argus,Adjective,19
necdum,Adverb,9
etiam,Adverb,41
causa,Noun,33
ira,Noun,65
saevus,Adjective,59
que,Conjunction,3212
dolor,Noun,40
excido,Verb,6
animus,Noun,162
maneo,Verb,44
altus,Adjective,175
mens,Noun,67
repono,Verb,16
iudicium,Noun,1
Paris,Noun,9
sperno,Verb,3
que,Conjunction,3212
iniuria,Noun,6
forma,Noun,25
et,Conjunction,2083
genus,Noun,70
invisus,Adjective,14
et,Conjunction,2083
rapio,Verb,58
Ganymedes,Noun,1
honor,Noun,61
hic,Pronoun,694
accendo,Verb,25
super,Preposition,74
iacto,Verb,31
aequor,Noun,89
totus,Adjective,103
Troes,Noun,27
reliquiae,Noun,9
Danai,Noun,45
atque,Conjunction,293
immitis,Adjective,2
Achilles,Noun,22
arceo,Verb,9
longus,Adjective,125
Latium,Noun,31
multus,Adjective,161
que,Conjunction,3212
per,Preposition,351
annus,Noun,37
erro,Verb,32
ago,Verb,102
fatum,Noun,125
mare,Noun,61
omnis,Adjective,330
circum,Preposition,74
tantus,Adjective,118
moles,Noun,30
sum,Verb,531
Romanus,Adjective,22
condo,Verb,45
gens,Noun,96
vix,Adverb,39
e,Preposition,131
conspectus,Noun,9
Siculus,Adjective,7
tellus,Noun,51
in,Preposition,769
altum,Noun,28
velum,Noun,32
do,Verb,317
laetus,Adjective,78
et,Conjunction,2083
spuma,Noun,5
sal,Noun,7
aes,Noun,30
ruo,Verb,70
cum,Conjunction,164
Iuno,Noun,56
aeternus,Adjective,20
servo,Verb,56
sub,Preposition,160
pectus,Noun,120
vulnus,Noun,70
hic,Pronoun,694
sui,Pronoun,303
cum,Preposition,139
ego,Pronoun,389
ne,Adverb,63
inceptum,Noun,9
desisto,Verb,3
vinco,Verb,59
nec,Conjunction,331
possum,Verb,95
Italia,Noun,44
Teucrus,Adjective,130
averto,Verb,22
rex,Noun,132
quippe,Adverb,5
veto,Verb,10
fatum,Noun,125
Pallas,Noun,10
ne,Adverb,63
exuro,Verb,8
classis,Noun,62
Argus,Adjective,19
atque,Conjunction,293
ipse,Pronoun,289
